y_test,y_Hat
530.1498,466.4712518147052
502.0568,340.86269877328994
500.5227,301.3741869465756
516.8666,56.74720322064944
368.7546,41.479175246575124
368.7546,41.479175246575124
4531.0194,7507.305576637701
5287.6637,7529.163696430932
5396.2159,7642.457348162285
5332.1605,7130.426979032505
6492.872,9320.877191905478
6492.872,10921.723652416367
4134.9367,4037.223732421943
4171.795,3820.4736969248916
4022.1502,4001.821666082446
3337.2525,4077.7136605260803
3690.6279,4352.767970473925
3690.6279,3747.0127210986734
2283.2142,1703.5642202417662
2487.501,1595.470451382594
2142.2388,1546.5768924930605
1603.9935,2279.1818317652665
1953.5338,1381.320990852325
1953.5338,1875.5258663876411
14613.0418,8809.932029512225
11795.1594,8562.935979627691
9963.6725,8562.935979627691
8496.4241,9989.165072699714
10636.1202,14559.653326746304
10636.1202,10974.380346466452
4041.995,7451.31088661905
4391.9237,6758.536895644245
4828.5052,6343.490468238454
4505.8674,8850.907605729035
4966.5135,8870.591006662993
4966.5135,9110.990607936592
53936.1403,54178.767498864356
57207.8715,56386.16565626364
54941.4342,55907.35836629086
51720.3708,58616.60268899068
60443.1092,62699.29678722359
60443.1092,63218.03434527831
47429.1585,50348.85654523083
51466.5566,50252.7045989134
50070.4033,50404.34099130421
48809.2269,50176.37837652127
53637.7057,52346.740915946655
53637.7057,46023.134087703336
4147.0897,5466.286980233367
4739.8417,5262.187816687254
4805.7537,7407.357920451444
4229.9106,5072.393405980829
5387.998,7680.980793476869
5387.998,4588.954747512054
24349.9099,25609.449130297173
25415.8466,24025.818734907363
25869.1129,25661.519651386912
23501.9195,19401.93564199029
26562.9691,26796.541236655597
26562.9691,21374.658577903545
1815.6094,1444.8936830578205
1963.4119,1440.8248557313213
2122.0789,1440.8248557313213
2233.3055,1440.8248557313213
2457.9249,1496.8520111922307
2457.9249,1455.7611660797966
17843.1979,6822.544922760779
18224.8906,12073.23661112916
19002.9624,12654.373867629538
16643.8066,8026.46858952043
17225.4623,8088.20555030716
17225.4623,17465.946543333852
5785.6707,7494.472881942356
6360.0625,8845.458891577131
6837.7178,6611.087168294537
6542.7975,9245.70511451476
7302.2578,7472.033213376208
7302.2578,9609.569587701297
44198.4824,45738.12606693415
47544.9811,46215.07366045748
46638.6813,46483.14729398687
45517.7949,47380.25659389186
51247.0144,48606.8644119415
51247.0144,40573.10769392893
6100.9947,6913.084034305816
6059.1626,6873.4149922576335
6210.5655,6507.888172925249
5266.8762,5242.354167047348
6228.2673,6840.230623935606
6228.2673,6823.117698577374
1095.2745,1264.673220366901
1194.4382,1353.450544686211
1170.9655,1148.195881206426
1237.9493,945.949739675919
1319.155,1295.216730493775
1319.155,1427.711016727734
3240.7048,2270.3271976389806
3210.7063,2092.585255252537
3303.9642,5214.111227237483
3009.9242,3987.245488154305
3266.3649,4114.087788878155
3266.3649,12738.713024979501
3280.0082,3828.143823212286
3471.007,4558.083943945673
3472.3808,4457.637968958716
3068.8126,5435.503765993716
3345.1966,4743.806097935214
3345.1966,3857.9802024352834
5255.8071,5876.518610034527
5936.1015,6934.942638444986
6011.3707,6531.0857192821295
6012.0628,8350.883902138785
7143.3105,12761.197604706233
7143.3105,10697.337627768808
6705.3519,8116.310355705399
6947.8008,8116.310355705399
6679.1677,6954.14993701801
5863.2032,5467.957000375106
6805.2213,3268.8752323749572
6805.2213,5363.482339781181
9896.6848,9310.217606825863
9121.0834,8598.544821878862
8845.2591,8561.683614258514
6794.4892,8934.850826698226
7507.161,8732.233758016317
7507.161,8780.104479946804
28186.803,21699.299582145843
31241.454,17551.35020426697
30748.7375,17586.64365779027
27179.412,17816.17888123647
31449.0766,18377.79007321659
31449.0766,24733.419661271684
8366.2932,10496.248844066224
9446.7171,9357.577098899674
9879.3343,7145.317884816263
10129.813,8899.772898729585
12221.4966,9734.752213933454
12221.4966,9585.577922848406
711.1846,772.6703111206704
779.2027,772.6703111206704
772.1669,852.0635776151747
833.2443,865.0346054054979
893.0772,1020.6981081953804
893.0772,1510.4570338753863
243.1358,259.78817891748645
231.4465,365.5086899753161
216.973,211.54037996565083
216.8267,177.29779413952153
221.4777,193.8540559344348
221.4777,207.08250475281596
1400.8993,3895.7862826982077
1533.316,4096.174323744309
1671.3854,2287.9997340953337
1577.9117,2530.471989123115
1625.235,2875.7742267823983
1625.235,2921.2438377070794
1479.8623,863.272054313312
1594.06,824.0133897837032
1538.6879,690.590597451874
1539.1306,687.3823833595144
1666.9327,935.2285747407778
1666.9327,973.6270186141925
45129.4293,48048.05093806002
46548.6384,48113.96351805085
46328.6718,49691.79547860127
43258.2639,49510.9080582304
51987.9391,56348.397730988014
51987.9391,47364.874789480054
3132.6218,2874.8334416192315
3442.742,3388.07469371135
3434.5627,3727.2622387463502
2924.1018,3399.0517662656075
3293.2331,3588.512432612257
3293.2331,3753.217935068869
414.7403,1536.272958553154
435.9323,1756.6953169013007
426.4088,1777.3204060227129
435.4693,1562.2083666803653
461.1375,1777.3204060227129
461.1375,1874.8645204925951
662.8975,519.960731050124
720.265,518.0676235951171
701.6212,422.5186238828854
643.7722,851.739048209331
685.6903,901.9344738552288
685.6903,981.460664918347
15045.5277,8455.399157975748
15795.7085,9311.673189244897
14631.9469,8938.615011997214
13094.4595,16442.131689075235
16265.096,15404.462024602293
16265.096,15253.88298581546
8816.9869,9550.834805424283
9905.342,9114.643288329806
10143.8382,11154.696080782709
10408.6698,9426.550465314187
12556.3331,10317.687872776016
12556.3331,8307.843966497523
6450.3196,8132.3864768143285
6782.0379,7855.667949536613
6438.0602,5876.033812228189
5307.2152,9922.008833494036
6104.1367,6599.039245978891
6104.1367,6069.678232820192
1414.5866,2079.988707448263
1531.338,2075.919880121764
1510.7974,2075.919880121764
1519.5868,1515.0267468884801
1577.471,2109.539375772641
1577.471,2118.275792534214
12118.1334,9734.089528383749
12383.15,10296.880507755057
12669.3411,11809.748813333394
12132.8769,10040.170758040282
12472.4437,8897.409948833043
12472.4437,9712.663465668471
2076.148,3428.57700764071
2275.496,2993.0797997079244
2238.811,3236.303936686799
2288.1195,2752.603908349265
2549.0413,2580.9163466725986
2549.0413,2622.883135176508
13655.8159,17689.847374448567
15244.431,15347.642672002768
15331.8831,15599.988671448573
14198.754,15325.607396548721
17685.3253,19000.281651164838
17685.3253,16598.00589304186
8543.361,6414.413952712319
8831.9072,6194.645412066873
9139.4159,6105.186783816522
9499.5902,5436.663363768621
9499.5902,7340.468316075706
9499.5902,6109.704620148778
26697.1719,32364.07597959731
29418.9355,27876.181687195723
29417.1387,29180.18964532645
28036.1895,31953.648764759593
31551.8164,33403.54769201783
31551.8164,30795.587477368153
20636.2,22023.268670811798
23424.4805,22586.78354556455
23664.8479,22586.78354556455
22992.8794,25595.69993465809
26821.2452,25087.54938018084
26821.2452,26345.22730674376
451.0891,1198.4057761617635
546.2126,576.7057982766204
575.8828,1283.877114177069
524.6667,991.7305042427803
577.2092,515.3450057465353
577.2092,1450.288009205892
57610.0982,59180.4142598718
61591.9289,60665.20813217624
59592.9807,62040.5799762362
60915.4244,59968.512220797165
68007.7567,60323.67127970827
68007.7567,54887.5949834884
2655.7332,1881.6523228116557
2755.8383,1776.0295228017287
2876.0437,1701.9778980389945
2917.9963,1538.214952147789
3150.4367,1263.4280911407384
3150.4367,1846.65220655016
7408.0913,5024.663880890838
7833.195,6323.562301235622
8561.587,8341.856466382274
7003.4699,5780.068853334715
7653.1719,5332.178134721459
7653.1719,8545.73018216485
7513.4913,4531.413886051963
7947.1582,4112.571974480094
8173.338,3652.736054800654
7167.9192,4071.5779663725266
8476.7522,3736.0553764448255
8476.7522,3457.5034266808393
6246.4043,4860.983574901141
6321.3494,4757.2159443514165
6233.2582,4702.002889211115
5645.1993,5071.355460249705
5965.1329,4894.8015678782485
5965.1329,4768.060660001639
2315.8966,2990.770817977981
2407.0865,3444.2986652603963
2869.5766,3309.765530693715
3398.8014,3257.819832710602
3698.835,3966.6503971000425
3698.835,3202.1523284027476
3986.049,3716.6124859874417
4145.8624,3827.5012934805413
4280.2884,3556.8953076432463
3903.3958,3544.463045777632
4551.1847,3187.823425391083
4551.1847,3345.708044318073
8410.3973,11278.485983580467
8719.1862,11871.452238040083
7317.3902,11142.999073116927
6327.599,10700.492036872918
7506.6675,10911.393435742879
7506.6675,9493.385147858538
643.79,794.9238206952145
643.79,794.9238206952145
643.79,739.7356186377822
643.79,794.9238206952145
643.79,1140.9167702142693
643.79,1114.3282816556352
20437.7654,18879.40316780188
23165.8495,37683.65463242855
23424.4847,31718.937782220146
23595.2437,32331.957694758
27943.7012,42900.59098525233
27943.7012,33234.42394210196
3824.0468,4189.8203117901685
4020.2731,2949.7038645993525
3843.3774,3893.800078893289
3372.8956,4178.435432085167
3978.4035,2389.547583638738
3978.4035,2070.7975373993963
755.7518,969.1139818945474
758.2991,969.1139818945474
840.4495,777.8814581570998
918.6526,25.348138199852325
925.0774,84.26396149921497
925.0774,201.85900208781027
5825.1292,4315.507780574349
6073.3364,5500.418903569982
5968.3006,4959.420541788972
4864.117,7712.623757981464
4646.6127,9019.93155526076
4646.6127,11042.423245296974
46412.1365,46348.61736333175
49987.6262,46438.761902515376
48629.8582,49658.8669485008
49170.7522,51342.26047204169
53654.7503,50819.24640019885
53654.7503,45456.07073336915
38781.0495,37047.00015860319
41557.8549,38628.58181476985
40494.8983,38750.35827650338
39055.2829,45685.42300137311
43658.979,50656.8736441015
43658.979,41843.673746199915
6975.6958,6660.577731334827
7694.906,6560.538730012142
7523.8623,6168.349762071388
6680.0827,5893.812437869882
8635.3257,6660.577731334827
8635.3257,6079.248548054082
4357.0009,13960.407196511202
4722.0424,14877.456856710607
4696.1506,12867.86228172226
4255.743,12831.860597562438
5023.2744,15441.477404406176
5023.2744,14821.121548458052
44652.5892,44386.45758066324
47939.2783,46637.50825107518
46793.6868,46348.329144138144
46772.8254,46003.40360033886
51203.5545,46350.310393079104
51203.5545,37808.63803568748
1998.738,1229.097503899701
2180.0416,996.1572426787862
2167.9116,1165.3884418891441
2176.5795,1100.6370170459206
2363.2993,1173.0911390174313
2363.2993,1851.2589506058282
18582.0893,23407.22954197011
19756.9905,21788.866113467182
19144.2844,21703.46039498133
17658.9473,22682.092979267247
20192.5963,25287.584483197308
20192.5963,21110.452779161194
4454.0481,3273.175467737787
4485.7313,4227.181968596941
4647.6933,3915.49722769961
4604.5767,3006.6505409990373
5025.5423,3239.3001395728825
5025.5423,3016.5687230420194
843.4643,859.8641931544925
944.4173,868.6439493417929
1043.8999,836.2108137923937
1073.6593,1117.0564468847028
1189.176,1391.2773964658986
1189.176,1391.2773964658986
718.2458,-228.66460367240128
781.6443,119.55128107139508
730.6114,-123.71904088545153
710.2581,-352.6847700999571
795.1186,-185.20929794812014
795.1186,-180.21919777891037
6220.9786,5279.571384691275
6094.9089,5402.110892952346
6477.2967,5183.3992770146715
6863.0743,5175.098012828019
9998.5443,5613.170358967857
9998.5443,5774.02307631394
1384.0384,2754.702445565305
1494.225,2961.447357871597
1324.844,3421.374634993836
1283.1408,3155.463252743344
1829.593,3495.9990637654155
1829.593,3410.537083868911
2403.3045,2620.4158767875224
2457.6889,2366.272356590067
2519.3702,2816.0466647569974
2354.1196,2927.0171458645887
2771.7175,2581.33059284004
2771.7175,2570.5532691554336
46160.4298,41056.59114781384
48537.5669,40456.278168096294
48356.0635,40107.95273166106
46107.7653,41160.711525849285
49800.5424,41633.58337340044
14621.2396,12344.411418438787
16425.1013,11858.042616475253
16782.9525,11665.360453060415
16120.989,14381.632191630373
18728.1219,14089.762279371213
18728.1219,16483.632499639545
72010.149,54623.4762780251
74461.48,55401.26605679282
68853.7152,57420.76131439116
59200.1779,54904.38530924607
68727.6367,61360.11464160092
68727.6367,57324.496511990415
1957.9688,3232.70690950453
1974.3778,3096.806170950469
2047.2327,3096.806170950469
1910.4215,3103.3716199212
2256.5904,4161.073068503195
2256.5904,1381.4926301687594
3839.7851,5515.075363222949
3902.6617,5400.9244591179095
4151.2275,5398.665683359465
3894.2722,6247.597317340243
4332.7093,6248.385924360733
4332.7093,5213.300111510573
5758.5907,3333.2243452284733
3873.9953,3340.0076280152675
3277.8756,2831.2104910397625
2746.4204,2799.40602857771
4091.2092,2599.6314215728717
4091.2092,2540.71559827351
4725.1936,5536.318098345902
5601.4671,5511.6387136201865
5621.1817,5388.334976696615
4332.3041,4753.369932629794
4775.3775,5091.314983171275
4775.3775,5091.314983171275
69970.9489,56868.64621280139
79250.3879,57124.37682483311
80927.0747,59706.64210169226
85420.1909,58599.40621879333
100172.0793,61546.149715960855
100172.0793,57466.29802263246
41114.7817,28929.175696038405
42406.8454,35759.13850851224
44452.2326,31075.353850100448
44846.7916,37336.43992766443
52170.7119,40134.6657257442
52170.7119,26791.101555455447
32406.7203,36378.3480137481
34622.1697,33656.896793721986
33673.751,36230.99635452381
31911.0358,37051.35211180243
35657.4976,39725.28166847704
35657.4976,37174.61735132358
5273.1507,5964.827066420576
5594.4939,6008.786028723115
5626.1712,5823.2816932851765
4897.2659,5566.791173986175
5183.5813,5966.48761855063
5183.5813,5692.821247089598
38834.0529,39650.619492365106
39727.1166,40881.76921052177
40458.0019,39221.14771752154
39918.1676,39314.53486340832
39312.6604,40662.111722332906
39312.6604,36598.95995509527
4073.1164,8716.485113856425
4146.4073,8181.766425616165
4205.5637,7575.994219538087
4042.7693,9233.868563708473
4103.259,6119.5453771767
4103.259,6035.402073003044
9247.5813,12656.928890562016
9812.6264,13162.632369367999
9812.5958,11033.647327843475
9121.6371,10965.399689440437
10373.7898,12085.739588767305
10373.7898,7815.837935964164
1675.9739,1722.4788878557954
1845.7829,1647.5574300046312
1970.1051,1882.568385313071
1936.4246,1703.8663261875956
2081.7999,1833.2795839941725
2081.7999,1833.3809465073164
1563.5505,4026.1935744547404
1605.0136,4026.1935744547404
1432.179,4827.574777703803
1430.5516,3746.4396094706735
1606.4625,4597.4268772242995
1606.4625,13041.334745057206
4009.381,8336.384792808934
4384.0489,9327.862779729405
4416.1084,9469.610699310027
4310.8112,6705.0390795768435
5269.7839,11134.368066716497
5269.7839,7978.195257697163
29263.0896,30878.20588331397
32007.5235,29391.920158053475
30667.3482,29365.442994245048
24300.3294,27727.68748291246
24300.3294,30707.71708590658
24300.3294,30651.313279256796
1242.7696,1840.9241802057743
1308.1402,2221.0614794166904
1374.0321,2397.7641091712044
1182.5217,2883.5226203854522
1276.7004,2376.2609423160147
1276.7004,1673.8894516295236
2439.4634,1736.9931101289815
2553.3619,3110.4004824500194
2598.5055,3315.3009193424077
2593.3551,2448.9293566635215
2535.6234,4519.26305820378
2535.6234,3558.5973851300664
15695.1152,20231.080343710586
17865.0311,19550.37916809893
17945.2222,17701.578644428246
18207.1396,15354.29399956324
21148.1629,22288.803490935195
21148.1629,23084.120202992155
8679.8974,9025.920324418532
9225.8452,10304.726417150814
8985.5725,8517.93662425734
5599.9575,4979.64526323956
4136.1463,5465.063498367897
4136.1463,5479.763770332663
1062.7125,3046.93655706536
1161.7271,1129.5012288625678
1102.5649,2551.549339927388
989.8472,2352.726662704246
1094.0982,929.1488644134091
1094.0982,2057.2197080403703
706.8927,918.3127238721256
700.037,999.1254813004351
665.8784,888.485121678076
